xCa= 1 xC=0 xO=5 xMg=4 xCl=2
 xCalcite=3 xDolomite=4 xAq_gen=0

Time step  0	dt = 50[s]
Node	Aq	pH	Calcite	Dolomite	Ca	Mg	Cl
4	55.3422	9.37439	9.36461e-05	0	0.000156354	1e-07	2e-07
5	55.3422	9.37439	9.36461e-05	0	0.000156354	1e-07	2e-07
6	55.3422	9.37439	9.36461e-05	0	0.000156354	1e-07	2e-07
7	55.3422	9.37439	9.36461e-05	0	0.000156354	1e-07	2e-07
8	55.3422	9.37439	9.36461e-05	0	0.000156354	1e-07	2e-07
9	55.3422	9.37439	9.36461e-05	0	0.000156354	1e-07	2e-07
10	55.3422	9.37439	9.36461e-05	0	0.000156354	1e-07	2e-07
11	55.3422	9.37439	9.36461e-05	0	0.000156354	1e-07	2e-07
12	55.3422	9.37439	9.36461e-05	0	0.000156354	1e-07	2e-07
13	55.3422	9.37439	9.36461e-05	0	0.000156354	1e-07	2e-07
14	55.3422	9.37439	9.36461e-05	0	0.000156354	1e-07	2e-07
15	55.3422	9.37439	9.36461e-05	0	0.000156354	1e-07	2e-07
16	55.3422	9.37439	9.36461e-05	0	0.000156354	1e-07	2e-07
17	55.3422	9.37439	9.36461e-05	0	0.000156354	1e-07	2e-07
18	55.3422	9.37439	9.36461e-05	0	0.000156354	1e-07	2e-07
19	55.3422	9.37439	9.36461e-05	0	0.000156354	1e-07	2e-07
20	55.3422	9.37439	9.36461e-05	0	0.000156354	1e-07	2e-07
21	55.3422	9.37439	9.36461e-05	0	0.000156354	1e-07	2e-07
22	55.3422	9.37439	9.36461e-05	0	0.000156354	1e-07	2e-07
23	55.3422	9.37439	9.36461e-05	0	0.000156354	1e-07	2e-07
24	55.3422	9.37439	9.36461e-05	0	0.000156354	1e-07	2e-07
25	55.3422	9.37439	9.36461e-05	0	0.000156354	1e-07	2e-07
26	55.3422	9.37439	9.36461e-05	0	0.000156354	1e-07	2e-07
27	55.3422	9.37439	9.36461e-05	0	0.000156354	1e-07	2e-07
28	55.3422	9.37439	9.36461e-05	0	0.000156354	1e-07	2e-07
29	55.3422	9.37439	9.36461e-05	0	0.000156354	1e-07	2e-07
30	55.3422	9.37439	9.36461e-05	0	0.000156354	1e-07	2e-07
31	55.3422	9.37439	9.36461e-05	0	0.000156354	1e-07	2e-07
32	55.3422	9.37439	9.36461e-05	0	0.000156354	1e-07	2e-07
33	55.3422	9.37439	9.36461e-05	0	0.000156354	1e-07	2e-07
34	55.3422	9.37439	9.36461e-05	0	0.000156354	1e-07	2e-07
35	55.3422	9.37439	9.36461e-05	0	0.000156354	1e-07	2e-07
36	55.3422	9.37439	9.36461e-05	0	0.000156354	1e-07	2e-07
37	55.3422	9.37439	9.36461e-05	0	0.000156354	1e-07	2e-07
38	55.3422	9.37439	9.36461e-05	0	0.000156354	1e-07	2e-07
39	55.3422	9.37439	9.36461e-05	0	0.000156354	1e-07	2e-07
40	55.3422	9.37439	9.36461e-05	0	0.000156354	1e-07	2e-07
41	55.3422	9.37439	9.36461e-05	0	0.000156354	1e-07	2e-07
42	55.3422	9.37439	9.36461e-05	0	0.000156354	1e-07	2e-07
43	55.3422	9.37439	9.36461e-05	0	0.000156354	1e-07	2e-07
44	55.3422	9.37439	9.36461e-05	0	0.000156354	1e-07	2e-07
45	55.3422	9.37439	9.36461e-05	0	0.000156354	1e-07	2e-07
46	55.3422	9.37439	9.36461e-05	0	0.000156354	1e-07	2e-07
47	55.3422	9.37439	9.36461e-05	0	0.000156354	1e-07	2e-07
48	55.3422	9.37439	9.36461e-05	0	0.000156354	1e-07	2e-07
49	55.3422	9.37439	9.36461e-05	0	0.000156354	1e-07	2e-07
50	55.3422	9.37439	9.36461e-05	0	0.000156354	1e-07	2e-07
51	55.3422	9.37439	9.36461e-05	0	0.000156354	1e-07	2e-07
52	55.3422	9.37439	9.36461e-05	0	0.000156354	1e-07	2e-07
53	55.3422	9.37439	9.36461e-05	0	0.000156354	1e-07	2e-07
54	55.3422	9.37439	9.36461e-05	0	0.000156354	1e-07	2e-07
55	55.3422	9.37439	9.36461e-05	0	0.000156354	1e-07	2e-07
56	55.3422	9.37439	9.36461e-05	0	0.000156354	1e-07	2e-07
57	55.3422	9.37439	9.36461e-05	0	0.000156354	1e-07	2e-07
58	55.3422	9.37439	9.36461e-05	0	0.000156354	1e-07	2e-07
59	55.3422	9.37439	9.36461e-05	0	0.000156354	1e-07	2e-07
60	55.3422	9.37439	9.36461e-05	0	0.000156354	1e-07	2e-07
61	55.3422	9.37439	9.36461e-05	0	0.000156354	1e-07	2e-07
62	55.3422	9.37439	9.36461e-05	0	0.000156354	1e-07	2e-07
63	55.3422	9.37439	9.36461e-05	0	0.000156354	1e-07	2e-07
