xCa= 1 xC=0 xO=5 xMg=4 xCl=2
 xCalcite=3 xDolomite=4 xAq_gen=0

Time step: 0  Time, s: 0	dt = 10000[s]
Node	pH	mCa	mMg	mCl	nCal	nDol	AsDol	SIDol
49	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
50	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
51	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
52	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
53	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
54	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
55	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
56	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
57	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
58	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
59	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
60	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
61	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
62	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
63	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
64	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
65	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
66	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
67	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
68	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
69	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
70	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
71	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
72	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
73	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
74	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
75	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
76	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
77	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
78	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
79	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
80	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
81	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
