xCa= 1 xC=0 xO=5 xMg=4 xCl=2
 xCalcite=3 xDolomite=4 xAq_gen=0

Time step: 0  Time, s: 0  dTime, s: 1	dt = 50[s]
Node	Aq	pH	Calc	Dolo	Ca	Mg	Cl
84	55.3423	10.072	0.00042802	4.27913e-05	6.01829e-05	0.000157312	2e-07
85	55.3423	10.0719	0.00042809	4.27913e-05	6.01253e-05	0.000157306	2e-07
86	55.3423	10.072	0.00042802	4.27913e-05	6.01829e-05	0.000157312	2e-07
87	55.3423	10.0719	0.00042809	4.27913e-05	6.01253e-05	0.000157306	2e-07
88	55.3423	10.072	0.00042802	4.27913e-05	6.01829e-05	0.000157312	2e-07
89	55.3423	10.0719	0.00042809	4.27913e-05	6.01253e-05	0.000157306	2e-07
90	55.3423	10.072	0.00042802	4.27913e-05	6.01829e-05	0.000157312	2e-07
91	55.3423	10.0719	0.00042809	4.27913e-05	6.01253e-05	0.000157306	2e-07
92	55.3423	10.072	0.00042802	4.27913e-05	6.01829e-05	0.000157312	2e-07
93	55.3423	10.0719	0.00042809	4.27913e-05	6.01253e-05	0.000157306	2e-07
94	55.3423	10.072	0.00042802	4.27913e-05	6.01829e-05	0.000157312	2e-07
95	55.3423	10.0719	0.00042809	4.27913e-05	6.01253e-05	0.000157306	2e-07
96	55.3423	10.072	0.00042802	4.27913e-05	6.01829e-05	0.000157312	2e-07
97	55.3423	10.0719	0.00042809	4.27913e-05	6.01253e-05	0.000157306	2e-07
98	55.3423	10.072	0.00042802	4.27913e-05	6.01829e-05	0.000157312	2e-07
99	55.3423	10.0719	0.00042809	4.27913e-05	6.01253e-05	0.000157306	2e-07
100	55.3423	10.072	0.00042802	4.27913e-05	6.01829e-05	0.000157312	2e-07
Time step: 1  Time, s: 1  dTime, s: 1	dt = 50[s]
Node	Aq	pH	Calc	Dolo	Ca	Mg	Cl
Error: GEM calculation results are not retrieved. Time step1 node 0
0	55.3719	6.89615	0	0	1e-07	0.01	0.02
1	55.3477	9.60233	0	0.000302407	0.000200336	0.00179377	0.00380016
2	55.3425	10.0094	0.000402662	6.61281e-05	7.84502e-05	0.000206437	0.000200198
3	55.3423	10.0719	0.000428096	4.27913e-05	6.01253e-05	0.000157306	2e-07
4	55.3423	10.072	0.000428014	4.27913e-05	6.01829e-05	0.000157311	2e-07
5	55.3423	10.0719	0.000428096	4.27913e-05	6.01253e-05	0.000157306	2e-07
6	55.3423	10.072	0.000428014	4.27913e-05	6.01829e-05	0.000157311	2e-07
7	55.3423	10.0719	0.000428096	4.27913e-05	6.01253e-05	0.000157306	2e-07
8	55.3423	10.072	0.000428014	4.27913e-05	6.01829e-05	0.000157311	2e-07
9	55.3423	10.0719	0.000428096	4.27913e-05	6.01253e-05	0.000157306	2e-07
10	55.3423	10.072	0.000428014	4.27913e-05	6.01829e-05	0.000157311	2e-07
11	55.3423	10.0719	0.000428096	4.27913e-05	6.01253e-05	0.000157306	2e-07
12	55.3423	10.072	0.000428014	4.27913e-05	6.01829e-05	0.000157311	2e-07
13	55.3423	10.0719	0.000428096	4.27913e-05	6.01253e-05	0.000157306	2e-07
14	55.3423	10.072	0.000428014	4.27913e-05	6.01829e-05	0.000157311	2e-07
15	55.3423	10.0719	0.000428096	4.27913e-05	6.01253e-05	0.000157306	2e-07
16	55.3423	10.072	0.000428014	4.27913e-05	6.01829e-05	0.000157311	2e-07
17	55.3423	10.0719	0.000428096	4.27913e-05	6.01253e-05	0.000157306	2e-07
18	55.3423	10.072	0.000428014	4.27913e-05	6.01829e-05	0.000157311	2e-07
19	55.3423	10.0719	0.000428096	4.27913e-05	6.01253e-05	0.000157306	2e-07
20	55.3423	10.072	0.000428014	4.27913e-05	6.01829e-05	0.000157311	2e-07
21	55.3423	10.0719	0.000428096	4.27913e-05	6.01253e-05	0.000157306	2e-07
22	55.3423	10.072	0.000428014	4.27913e-05	6.01829e-05	0.000157311	2e-07
23	55.3423	10.0719	0.000428096	4.27913e-05	6.01253e-05	0.000157306	2e-07
24	55.3423	10.072	0.000428014	4.27913e-05	6.01829e-05	0.000157311	2e-07
25	55.3423	10.0719	0.000428096	4.27913e-05	6.01253e-05	0.000157306	2e-07
26	55.3423	10.072	0.000428014	4.27913e-05	6.01829e-05	0.000157311	2e-07
27	55.3423	10.0719	0.000428096	4.27913e-05	6.01253e-05	0.000157306	2e-07
28	55.3423	10.072	0.000428014	4.27913e-05	6.01829e-05	0.000157311	2e-07
29	55.3423	10.0719	0.000428096	4.27913e-05	6.01253e-05	0.000157306	2e-07
30	55.3423	10.072	0.000428014	4.27913e-05	6.01829e-05	0.000157311	2e-07
31	55.3423	10.0719	0.000428096	4.27913e-05	6.01253e-05	0.000157306	2e-07
32	55.3423	10.072	0.000428014	4.27913e-05	6.01829e-05	0.000157311	2e-07
33	55.3423	10.0719	0.000428096	4.27913e-05	6.01253e-05	0.000157306	2e-07
34	55.3423	10.072	0.000428014	4.27913e-05	6.01829e-05	0.000157311	2e-07
35	55.3423	10.0719	0.000428096	4.27913e-05	6.01253e-05	0.000157306	2e-07
36	55.3423	10.072	0.000428014	4.27913e-05	6.01829e-05	0.000157311	2e-07
37	55.3423	10.0719	0.000428096	4.27913e-05	6.01253e-05	0.000157306	2e-07
38	55.3423	10.072	0.000428014	4.27913e-05	6.01829e-05	0.000157311	2e-07
39	55.3423	10.0719	0.000428096	4.27913e-05	6.01253e-05	0.000157306	2e-07
40	55.3423	10.072	0.000428014	4.27913e-05	6.01829e-05	0.000157311	2e-07
41	55.3423	10.0719	0.000428096	4.27913e-05	6.01253e-05	0.000157306	2e-07
42	55.3423	10.072	0.000428014	4.27913e-05	6.01829e-05	0.000157311	2e-07
43	55.3423	10.0719	0.000428096	4.27913e-05	6.01253e-05	0.000157306	2e-07
44	55.3423	10.072	0.000428014	4.27913e-05	6.01829e-05	0.000157311	2e-07
45	55.3423	10.0719	0.000428096	4.27913e-05	6.01253e-05	0.000157306	2e-07
46	55.3423	10.072	0.000428014	4.27913e-05	6.01829e-05	0.000157311	2e-07
47	55.3423	10.0719	0.000428096	4.27913e-05	6.01253e-05	0.000157306	2e-07
48	55.3423	10.072	0.000428014	4.27913e-05	6.01829e-05	0.000157311	2e-07
49	55.3423	10.0719	0.000428096	4.27913e-05	6.01253e-05	0.000157306	2e-07
50	55.3423	10.072	0.000428014	4.27913e-05	6.01829e-05	0.000157311	2e-07
51	55.3423	10.0719	0.000428096	4.27913e-05	6.01253e-05	0.000157306	2e-07
52	55.3423	10.072	0.000428014	4.27913e-05	6.01829e-05	0.000157311	2e-07
53	55.3423	10.0719	0.000428096	4.27913e-05	6.01253e-05	0.000157306	2e-07
54	55.3423	10.072	0.000428014	4.27913e-05	6.01829e-05	0.000157311	2e-07
55	55.3423	10.0719	0.000428096	4.27913e-05	6.01253e-05	0.000157306	2e-07
56	55.3423	10.072	0.000428014	4.27913e-05	6.01829e-05	0.000157311	2e-07
57	55.3423	10.0719	0.000428096	4.27913e-05	6.01253e-05	0.000157306	2e-07
58	55.3423	10.072	0.000428014	4.27913e-05	6.01829e-05	0.000157311	2e-07
59	55.3423	10.0719	0.000428096	4.27913e-05	6.01253e-05	0.000157306	2e-07
60	55.3423	10.072	0.000428014	4.27913e-05	6.01829e-05	0.000157311	2e-07
61	55.3423	10.0719	0.000428096	4.27913e-05	6.01253e-05	0.000157306	2e-07
62	55.3423	10.072	0.000428014	4.27913e-05	6.01829e-05	0.000157311	2e-07
63	55.3423	10.0719	0.000428096	4.27913e-05	6.01253e-05	0.000157306	2e-07
64	55.3423	10.072	0.000428014	4.27913e-05	6.01829e-05	0.000157311	2e-07
65	55.3423	10.0719	0.000428096	4.27913e-05	6.01253e-05	0.000157306	2e-07
66	55.3423	10.072	0.000428014	4.27913e-05	6.01829e-05	0.000157311	2e-07
67	55.3423	10.0719	0.000428096	4.27913e-05	6.01253e-05	0.000157306	2e-07
68	55.3423	10.072	0.000428014	4.27913e-05	6.01829e-05	0.000157311	2e-07
69	55.3423	10.0719	0.000428096	4.27913e-05	6.01253e-05	0.000157306	2e-07
70	55.3423	10.072	0.000428014	4.27913e-05	6.01829e-05	0.000157311	2e-07
71	55.3423	10.0719	0.000428096	4.27913e-05	6.01253e-05	0.000157306	2e-07
72	55.3423	10.072	0.000428014	4.27913e-05	6.01829e-05	0.000157311	2e-07
73	55.3423	10.0719	0.000428096	4.27913e-05	6.01253e-05	0.000157306	2e-07
74	55.3423	10.072	0.000428014	4.27913e-05	6.01829e-05	0.000157311	2e-07
75	55.3423	10.0719	0.000428096	4.27913e-05	6.01253e-05	0.000157306	2e-07
76	55.3423	10.072	0.000428014	4.27913e-05	6.01829e-05	0.000157311	2e-07
77	55.3423	10.0719	0.000428096	4.27913e-05	6.01253e-05	0.000157306	2e-07
78	55.3423	10.072	0.000428014	4.27913e-05	6.01829e-05	0.000157311	2e-07
79	55.3423	10.0719	0.000428096	4.27913e-05	6.01253e-05	0.000157306	2e-07
80	55.3423	10.072	0.000428014	4.27913e-05	6.01829e-05	0.000157311	2e-07
81	55.3423	10.0719	0.000428096	4.27913e-05	6.01253e-05	0.000157306	2e-07
82	55.3423	10.072	0.000428014	4.27913e-05	6.01829e-05	0.000157311	2e-07
83	55.3423	10.0719	0.000428096	4.27913e-05	6.01253e-05	0.000157306	2e-07
84	55.3423	10.072	0.000428014	4.27913e-05	6.01829e-05	0.000157311	2e-07
85	55.3423	10.0719	0.000428096	4.27913e-05	6.01253e-05	0.000157306	2e-07
86	55.3423	10.072	0.000428014	4.27913e-05	6.01829e-05	0.000157311	2e-07
87	55.3423	10.0719	0.000428096	4.27913e-05	6.01253e-05	0.000157306	2e-07
88	55.3423	10.072	0.000428014	4.27913e-05	6.01829e-05	0.000157311	2e-07
89	55.3423	10.0719	0.000428096	4.27913e-05	6.01253e-05	0.000157306	2e-07
90	55.3423	10.072	0.000428014	4.27913e-05	6.01829e-05	0.000157311	2e-07
91	55.3423	10.0719	0.000428096	4.27913e-05	6.01253e-05	0.000157306	2e-07
92	55.3423	10.072	0.000428014	4.27913e-05	6.01829e-05	0.000157311	2e-07
93	55.3423	10.0719	0.000428096	4.27913e-05	6.01253e-05	0.000157306	2e-07
94	55.3423	10.072	0.000428014	4.27913e-05	6.01829e-05	0.000157311	2e-07
95	55.3423	10.0719	0.000428096	4.27913e-05	6.01253e-05	0.000157306	2e-07
96	55.3423	10.072	0.000428014	4.27913e-05	6.01829e-05	0.000157311	2e-07
97	55.3423	10.0719	0.000428096	4.27913e-05	6.01253e-05	0.000157306	2e-07
98	55.3423	10.072	0.000428014	4.27913e-05	6.01829e-05	0.000157311	2e-07
99	55.3423	10.0719	0.000428096	4.27913e-05	6.01253e-05	0.000157306	2e-07
100	55.3423	10.072	0.000428014	4.27913e-05	6.01829e-05	0.000157311	2e-07
Time step: 2  Time, s: 2  dTime, s: 1	dt = 50[s]
Node	Aq	pH	Calc	Dolo	Ca	Mg	Cl
Error: GEM calculation results are not retrieved. Time step2 node 0
0	55.3719	6.89615	0	0	1e-07	0.01	0.02
1	55.3501	9.50993	0	0.000302407	0.000180312	0.00261439	0.00542015
2	55.343	9.91609	0.000320979	0.000120877	0.000117573	0.000310422	0.000560194
3	55.3423	10.0432	0.000398762	6.61281e-05	6.79541e-05	0.000138883	2.01998e-05
4	55.3423	10.072	0.000428008	4.27913e-05	6.01829e-05	0.00015731	2e-07
5	55.3423	10.0719	0.000428101	4.27913e-05	6.01253e-05	0.000157307	2e-07
6	55.3423	10.072	0.000428008	4.27913e-05	6.01829e-05	0.00015731	2e-07
7	55.3423	10.0719	0.000428101	4.27913e-05	6.01253e-05	0.000157307	2e-07
8	55.3423	10.072	0.000428008	4.27913e-05	6.01829e-05	0.00015731	2e-07
9	55.3423	10.0719	0.000428101	4.27913e-05	6.01253e-05	0.000157307	2e-07
10	55.3423	10.072	0.000428008	4.27913e-05	6.01829e-05	0.00015731	2e-07
11	55.3423	10.0719	0.000428101	4.27913e-05	6.01253e-05	0.000157307	2e-07
12	55.3423	10.072	0.000428008	4.27913e-05	6.01829e-05	0.00015731	2e-07
13	55.3423	10.0719	0.000428101	4.27913e-05	6.01253e-05	0.000157307	2e-07
14	55.3423	10.072	0.000428008	4.27913e-05	6.01829e-05	0.00015731	2e-07
15	55.3423	10.0719	0.000428101	4.27913e-05	6.01253e-05	0.000157307	2e-07
16	55.3423	10.072	0.000428008	4.27913e-05	6.01829e-05	0.00015731	2e-07
17	55.3423	10.0719	0.000428101	4.27913e-05	6.01253e-05	0.000157307	2e-07
18	55.3423	10.072	0.000428008	4.27913e-05	6.01829e-05	0.00015731	2e-07
19	55.3423	10.0719	0.000428101	4.27913e-05	6.01253e-05	0.000157307	2e-07
20	55.3423	10.072	0.000428008	4.27913e-05	6.01829e-05	0.00015731	2e-07
21	55.3423	10.0719	0.000428101	4.27913e-05	6.01253e-05	0.000157307	2e-07
22	55.3423	10.072	0.000428008	4.27913e-05	6.01829e-05	0.00015731	2e-07
23	55.3423	10.0719	0.000428101	4.27913e-05	6.01253e-05	0.000157307	2e-07
24	55.3423	10.072	0.000428008	4.27913e-05	6.01829e-05	0.00015731	2e-07
25	55.3423	10.0719	0.000428101	4.27913e-05	6.01253e-05	0.000157307	2e-07
26	55.3423	10.072	0.000428008	4.27913e-05	6.01829e-05	0.00015731	2e-07
27	55.3423	10.0719	0.000428101	4.27913e-05	6.01253e-05	0.000157307	2e-07
28	55.3423	10.072	0.000428008	4.27913e-05	6.01829e-05	0.00015731	2e-07
29	55.3423	10.0719	0.000428101	4.27913e-05	6.01253e-05	0.000157307	2e-07
30	55.3423	10.072	0.000428008	4.27913e-05	6.01829e-05	0.00015731	2e-07
31	55.3423	10.0719	0.000428101	4.27913e-05	6.01253e-05	0.000157307	2e-07
32	55.3423	10.072	0.000428008	4.27913e-05	6.01829e-05	0.00015731	2e-07
33	55.3423	10.0719	0.000428101	4.27913e-05	6.01253e-05	0.000157307	2e-07
34	55.3423	10.072	0.000428008	4.27913e-05	6.01829e-05	0.00015731	2e-07
35	55.3423	10.0719	0.000428101	4.27913e-05	6.01253e-05	0.000157307	2e-07
36	55.3423	10.072	0.000428008	4.27913e-05	6.01829e-05	0.00015731	2e-07
37	55.3423	10.0719	0.000428101	4.27913e-05	6.01253e-05	0.000157307	2e-07
38	55.3423	10.072	0.000428008	4.27913e-05	6.01829e-05	0.00015731	2e-07
39	55.3423	10.0719	0.000428101	4.27913e-05	6.01253e-05	0.000157307	2e-07
40	55.3423	10.072	0.000428008	4.27913e-05	6.01829e-05	0.00015731	2e-07
41	55.3423	10.0719	0.000428101	4.27913e-05	6.01253e-05	0.000157307	2e-07
42	55.3423	10.072	0.000428008	4.27913e-05	6.01829e-05	0.00015731	2e-07
43	55.3423	10.0719	0.000428101	4.27913e-05	6.01253e-05	0.000157307	2e-07
44	55.3423	10.072	0.000428008	4.27913e-05	6.01829e-05	0.00015731	2e-07
45	55.3423	10.0719	0.000428101	4.27913e-05	6.01253e-05	0.000157307	2e-07
46	55.3423	10.072	0.000428008	4.27913e-05	6.01829e-05	0.00015731	2e-07
47	55.3423	10.0719	0.000428101	4.27913e-05	6.01253e-05	0.000157307	2e-07
48	55.3423	10.072	0.000428008	4.27913e-05	6.01829e-05	0.00015731	2e-07
49	55.3423	10.0719	0.000428101	4.27913e-05	6.01253e-05	0.000157307	2e-07
50	55.3423	10.072	0.000428008	4.27913e-05	6.01829e-05	0.00015731	2e-07
51	55.3423	10.0719	0.000428101	4.27913e-05	6.01253e-05	0.000157307	2e-07
52	55.3423	10.072	0.000428008	4.27913e-05	6.01829e-05	0.00015731	2e-07
53	55.3423	10.0719	0.000428101	4.27913e-05	6.01253e-05	0.000157307	2e-07
54	55.3423	10.072	0.000428008	4.27913e-05	6.01829e-05	0.00015731	2e-07
55	55.3423	10.0719	0.000428101	4.27913e-05	6.01253e-05	0.000157307	2e-07
56	55.3423	10.072	0.000428008	4.27913e-05	6.01829e-05	0.00015731	2e-07
57	55.3423	10.0719	0.000428101	4.27913e-05	6.01253e-05	0.000157307	2e-07
58	55.3423	10.072	0.000428008	4.27913e-05	6.01829e-05	0.00015731	2e-07
59	55.3423	10.0719	0.000428101	4.27913e-05	6.01253e-05	0.000157307	2e-07
60	55.3423	10.072	0.000428008	4.27913e-05	6.01829e-05	0.00015731	2e-07
61	55.3423	10.0719	0.000428101	4.27913e-05	6.01253e-05	0.000157307	2e-07
62	55.3423	10.072	0.000428008	4.27913e-05	6.01829e-05	0.00015731	2e-07
63	55.3423	10.0719	0.000428101	4.27913e-05	6.01253e-05	0.000157307	2e-07
64	55.3423	10.072	0.000428008	4.27913e-05	6.01829e-05	0.00015731	2e-07
65	55.3423	10.0719	0.000428101	4.27913e-05	6.01253e-05	0.000157307	2e-07
66	55.3423	10.072	0.000428008	4.27913e-05	6.01829e-05	0.00015731	2e-07
67	55.3423	10.0719	0.000428101	4.27913e-05	6.01253e-05	0.000157307	2e-07
68	55.3423	10.072	0.000428008	4.27913e-05	6.01829e-05	0.00015731	2e-07
69	55.3423	10.0719	0.000428101	4.27913e-05	6.01253e-05	0.000157307	2e-07
70	55.3423	10.072	0.000428008	4.27913e-05	6.01829e-05	0.00015731	2e-07
71	55.3423	10.0719	0.000428101	4.27913e-05	6.01253e-05	0.000157307	2e-07
72	55.3423	10.072	0.000428008	4.27913e-05	6.01829e-05	0.00015731	2e-07
73	55.3423	10.0719	0.000428101	4.27913e-05	6.01253e-05	0.000157307	2e-07
74	55.3423	10.072	0.000428008	4.27913e-05	6.01829e-05	0.00015731	2e-07
75	55.3423	10.0719	0.000428101	4.27913e-05	6.01253e-05	0.000157307	2e-07
76	55.3423	10.072	0.000428008	4.27913e-05	6.01829e-05	0.00015731	2e-07
77	55.3423	10.0719	0.000428101	4.27913e-05	6.01253e-05	0.000157307	2e-07
78	55.3423	10.072	0.000428008	4.27913e-05	6.01829e-05	0.00015731	2e-07
79	55.3423	10.0719	0.000428101	4.27913e-05	6.01253e-05	0.000157307	2e-07
80	55.3423	10.072	0.000428008	4.27913e-05	6.01829e-05	0.00015731	2e-07
81	55.3423	10.0719	0.000428101	4.27913e-05	6.01253e-05	0.000157307	2e-07
82	55.3423	10.072	0.000428008	4.27913e-05	6.01829e-05	0.00015731	2e-07
83	55.3423	10.0719	0.000428101	4.27913e-05	6.01253e-05	0.000157307	2e-07
84	55.3423	10.072	0.000428008	4.27913e-05	6.01829e-05	0.00015731	2e-07
85	55.3423	10.0719	0.000428101	4.27913e-05	6.01253e-05	0.000157307	2e-07
86	55.3423	10.072	0.000428008	4.27913e-05	6.01829e-05	0.00015731	2e-07
87	55.3423	10.0719	0.000428101	4.27913e-05	6.01253e-05	0.000157307	2e-07
88	55.3423	10.072	0.000428008	4.27913e-05	6.01829e-05	0.00015731	2e-07
89	55.3423	10.0719	0.000428101	4.27913e-05	6.01253e-05	0.000157307	2e-07
90	55.3423	10.072	0.000428008	4.27913e-05	6.01829e-05	0.00015731	2e-07
91	55.3423	10.0719	0.000428101	4.27913e-05	6.01253e-05	0.000157307	2e-07
92	55.3423	10.072	0.000428008	4.27913e-05	6.01829e-05	0.00015731	2e-07
93	55.3423	10.0719	0.000428101	4.27913e-05	6.01253e-05	0.000157307	2e-07
94	55.3423	10.072	0.000428008	4.27913e-05	6.01829e-05	0.00015731	2e-07
95	55.3423	10.0719	0.000428101	4.27913e-05	6.01253e-05	0.000157307	2e-07
96	55.3423	10.072	0.000428008	4.27913e-05	6.01829e-05	0.00015731	2e-07
97	55.3423	10.0719	0.000428101	4.27913e-05	6.01253e-05	0.000157307	2e-07
98	55.3423	10.072	0.000428008	4.27913e-05	6.01829e-05	0.00015731	2e-07
99	55.3423	10.0719	0.000428101	4.27913e-05	6.01253e-05	0.000157307	2e-07
100	55.3423	10.072	0.000428008	4.27913e-05	6.01829e-05	0.00015731	2e-07
Time step: 3  Time, s: 3  dTime, s: 1	dt = 50[s]
